HTm,HRk,HAvAge,HGF/G,HGA/G,HPP,HPPO,HPP%,HPPA,HPPOA,HPK%,HSH,HSHA,HPIM/G,HoPIM/G,HS,HS%,HSA,HSV%,HSO
Vegas Golden Knights,1,28.5,3.57,2.29,11,49,22.45,7,43,83.72,2,1,9.9,9.9,418,12,426,0.925,1
Boston Bruins,2,28.3,3.17,1.92,7,40,17.5,3,50,94,0,0,12.4,10.2,379,10,377,0.939,1
New York Rangers,3,28.7,3.25,2.17,14,41,34.15,6,43,86.05,1,1,10.4,11.8,330,11.8,331,0.921,1
Vancouver Canucks,4,28.3,4.5,2,15,46,32.61,10,44,77.27,2,0,10.8,12,350,15.4,375,0.936,2
Los Angeles Kings,5,29.2,4.25,2.67,11,53,20.75,6,41,85.37,1,2,9.3,13.8,392,13,339,0.906,1
Carolina Hurricanes,6,29.6,3.38,3.38,13,49,26.53,12,50,76,4,4,12.9,10.5,451,9.8,334,0.868,1
Colorado Avalanche,7,28.4,3.36,2.82,8,43,18.6,5,46,89.13,4,2,12.3,10.4,378,9.8,315,0.902,1
Tampa Bay Lightning,8,28.6,3.85,3.46,15,44,34.09,5,39,87.18,0,0,9.3,11.5,396,12.6,437,0.897,2
New Jersey Devils,9,26.8,3.83,3.67,20,48,41.67,10,43,76.74,1,1,9.4,10.9,397,11.6,371,0.881,0
Florida Panthers,10,29,2.92,2.92,5,38,13.16,11,40,72.5,1,2,8.1,8.8,412,8.5,335,0.896,1
Detroit Red Wings,11,28.5,3.69,3.23,14,56,25,10,49,79.59,0,1,10.7,12.8,400,12,403,0.896,1
Dallas Stars,12,28.8,2.82,2.55,3,31,9.68,3,40,92.5,1,3,9.5,8.7,329,9.4,368,0.924,0
Toronto Maple Leafs,13,28.8,3.38,3.62,12,43,27.91,12,42,71.43,0,3,8.7,8.8,426,10.3,402,0.883,0
Winnipeg Jets,14,28.9,3.42,3.33,8,45,17.78,12,40,70,2,1,10.2,10,393,10.4,335,0.881,0
Anaheim Ducks,15,27.1,3.08,2.83,7,38,18.42,12,58,79.31,2,0,14.1,11.7,336,11,393,0.913,0
New York Islanders,16,29.2,2.64,2.82,5,33,15.15,8,39,79.49,2,0,10.2,8.2,339,8.6,387,0.92,3
Arizona Coyotes,17,26.5,3.25,2.92,13,49,26.53,12,42,71.43,0,0,15.7,13.5,349,11.2,380,0.908,0
Buffalo Sabres,18,25.9,3.15,3.15,5,39,12.82,6,50,88,2,2,12.3,11.5,370,11.1,387,0.894,1
Montreal Canadiens,19,26.5,2.92,3.5,10,50,20,14,53,73.58,2,3,14.8,14,358,9.8,419,0.9,0
Minnesota Wild,20,29,3.58,4,7,46,15.22,13,39,66.67,2,2,11.8,12.1,379,11.3,394,0.878,1
Washington Capitals,21,30.1,2,3.09,3,33,9.09,7,35,80,2,0,8.2,7.8,324,6.8,324,0.895,0
Philadelphia Flyers,22,26.8,2.92,3.15,4,45,8.89,8,39,79.49,4,1,12.6,12.9,416,9.1,339,0.879,1
Seattle Kraken,23,29.2,2.62,3.38,10,38,26.32,11,37,70.27,1,2,8.8,10.2,409,8.3,417,0.894,0
St. Louis Blues,24,29,2.36,2.91,1,28,3.57,8,31,74.19,2,1,7.4,7.9,293,8.9,364,0.912,1
Columbus Blue Jackets,25,26.8,2.67,3.25,6,41,14.63,5,38,86.84,0,1,8.8,10.3,378,8.5,397,0.902,0
Nashville Predators,26,28.7,2.83,3,11,49,22.45,12,39,69.23,1,0,7.8,9.3,364,9.3,364,0.901,1
Ottawa Senators,27,26.9,4,3.45,11,48,22.92,10,38,73.68,1,2,13.1,14.7,357,12.3,345,0.89,0
Pittsburgh Penguins,28,31.3,3.45,2.82,6,33,18.18,7,37,81.08,0,1,8.4,7.5,395,9.6,317,0.902,3
Calgary Flames,29,29.2,2.67,3.5,7,42,16.67,4,40,90,2,2,10.3,8.8,398,8,331,0.873,0
Chicago Blackhawks,30,27.5,2.36,3.45,4,38,10.53,6,36,83.33,1,2,10.4,10,295,8.8,389,0.902,0
Edmonton Oilers,31,28.7,2.64,4.27,10,39,25.64,14,45,68.89,0,2,11.6,9.6,377,7.7,338,0.861,0
San Jose Sharks,32,27.5,1.17,4.58,7,38,18.42,14,47,70.21,0,1,11.8,11,297,4.7,452,0.878,0
