Date,Visitor,VG,Home,HG,OT/SO,Notes,Result,Gtotal
10/10/2023,Chicago Blackhawks,4,Pittsburgh Penguins,2,,,-2,6
10/10/2023,Nashville Predators,3,Tampa Bay Lightning,5,,,2,8
10/10/2023,Seattle Kraken,1,Vegas Golden Knights,4,,,3,5
10/11/2023,Chicago Blackhawks,1,Boston Bruins,3,,,2,4
10/11/2023,Ottawa Senators,3,Carolina Hurricanes,5,,,2,8
10/11/2023,Winnipeg Jets,3,Calgary Flames,5,,,2,8
10/11/2023,Colorado Avalanche,5,Los Angeles Kings,2,,,-3,7
10/11/2023,Montreal Canadiens,5,Toronto Maple Leafs,6,SO,,1,11
10/11/2023,Edmonton Oilers,1,Vancouver Canucks,8,,,7,9
10/12/2023,New York Rangers,5,Buffalo Sabres,1,,,-4,6
10/12/2023,Philadelphia Flyers,4,Columbus Blue Jackets,2,,,-2,6
10/12/2023,St. Louis Blues,1,Dallas Stars,2,SO,,1,3
10/12/2023,Florida Panthers,0,Minnesota Wild,2,,,2,2
10/12/2023,Detroit Red Wings,3,New Jersey Devils,4,,,1,7
10/12/2023,Seattle Kraken,0,Nashville Predators,3,,,3,3
10/12/2023,Vegas Golden Knights,4,San Jose Sharks,1,,,-3,5
10/13/2023,Arizona Coyotes,4,New Jersey Devils,3,SO,,-1,7
10/13/2023,Pittsburgh Penguins,4,Washington Capitals,0,,,-4,4
10/14/2023,Nashville Predators,2,Boston Bruins,3,,,1,5
10/14/2023,New York Rangers,3,Columbus Blue Jackets,5,,,2,8
10/14/2023,Tampa Bay Lightning,4,Detroit Red Wings,6,,,2,10
10/14/2023,Vancouver Canucks,4,Edmonton Oilers,3,,,-1,7
10/14/2023,Carolina Hurricanes,6,Los Angeles Kings,5,SO,,-1,11
10/14/2023,Chicago Blackhawks,2,Montreal Canadiens,3,,,1,5
10/14/2023,Buffalo Sabres,2,New York Islanders,3,,,1,5
10/14/2023,Philadelphia Flyers,2,Ottawa Senators,5,,,3,7
10/14/2023,Calgary Flames,2,Pittsburgh Penguins,5,,,3,7
10/14/2023,Colorado Avalanche,2,San Jose Sharks,1,SO,,-1,3
10/14/2023,Seattle Kraken,1,St. Louis Blues,2,SO,,1,3
10/14/2023,Minnesota Wild,4,Toronto Maple Leafs,7,,,3,11
10/14/2023,Anaheim Ducks,1,Vegas Golden Knights,4,,,3,5
10/14/2023,Florida Panthers,4,Winnipeg Jets,6,,,2,10
10/15/2023,Carolina Hurricanes,3,Anaheim Ducks,6,,,3,9
10/15/2023,Tampa Bay Lightning,2,Ottawa Senators,5,,,3,7
10/16/2023,Detroit Red Wings,4,Columbus Blue Jackets,0,,,-4,4
10/16/2023,Florida Panthers,4,New Jersey Devils,3,,,-1,7
10/16/2023,Arizona Coyotes,1,New York Rangers,2,,,1,3
10/16/2023,Chicago Blackhawks,4,Toronto Maple Leafs,1,,,-3,5
10/16/2023,Calgary Flames,2,Washington Capitals,3,SO,,1,5
10/17/2023,Tampa Bay Lightning,2,Buffalo Sabres,3,OT,,1,5
10/17/2023,Minnesota Wild,5,Montreal Canadiens,2,,,-3,7
10/17/2023,Edmonton Oilers,6,Nashville Predators,1,,,-5,7
10/17/2023,Arizona Coyotes,0,New York Islanders,1,,,1,1
10/17/2023,Vancouver Canucks,0,Philadelphia Flyers,2,,,2,2
10/17/2023,Colorado Avalanche,4,Seattle Kraken,1,,,-3,5
10/17/2023,Carolina Hurricanes,6,San Jose Sharks,3,,,-3,9
10/17/2023,Dallas Stars,2,Vegas Golden Knights,3,SO,,1,5
10/17/2023,Los Angeles Kings,5,Winnipeg Jets,1,,,-4,6
10/18/2023,Pittsburgh Penguins,3,Detroit Red Wings,6,,,3,9
10/18/2023,Washington Capitals,1,Ottawa Senators,6,,,5,7
10/19/2023,Dallas Stars,3,Anaheim Ducks,2,,,-1,5
10/19/2023,Calgary Flames,4,Buffalo Sabres,3,,,-1,7
10/19/2023,Chicago Blackhawks,0,Colorado Avalanche,4,,,4,4
10/19/2023,Toronto Maple Leafs,1,Florida Panthers,3,,,2,4
10/19/2023,Los Angeles Kings,7,Minnesota Wild,3,,,-4,10
10/19/2023,Nashville Predators,4,New York Rangers,1,,,-3,5
10/19/2023,Edmonton Oilers,1,Philadelphia Flyers,4,,,3,5
10/19/2023,Carolina Hurricanes,4,Seattle Kraken,7,,,3,11
10/19/2023,Boston Bruins,3,San Jose Sharks,1,,,-2,4
10/19/2023,Arizona Coyotes,6,St. Louis Blues,2,,,-4,8
10/19/2023,Vancouver Canucks,3,Tampa Bay Lightning,4,,,1,7
10/19/2023,Vegas Golden Knights,5,Winnipeg Jets,3,,,-2,8
10/20/2023,Calgary Flames,1,Columbus Blue Jackets,3,,,2,4
10/20/2023,New Jersey Devils,5,New York Islanders,4,OT,,-1,9
10/21/2023,Anaheim Ducks,1,Arizona Coyotes,2,,,1,3
10/21/2023,New York Islanders,1,Buffalo Sabres,3,,,2,4
10/21/2023,Vegas Golden Knights,5,Chicago Blackhawks,3,,,-2,8
10/21/2023,Carolina Hurricanes,4,Colorado Avalanche,6,,,2,10
