Date,Visitor,VG,Home,HG,OT/SO,Notes,Result,Gtotal
11/6/2023,Boston Bruins,,Dallas Stars,,,,,
11/6/2023,Columbus Blue Jackets,,Florida Panthers,,,,,
11/6/2023,Tampa Bay Lightning,,Toronto Maple Leafs,,,,,
11/6/2023,Edmonton Oilers,,Vancouver Canucks,,,,,
11/7/2023,Pittsburgh Penguins,,Anaheim Ducks,,,,,
11/7/2023,Seattle Kraken,,Arizona Coyotes,,,,,
11/7/2023,Buffalo Sabres,,Carolina Hurricanes,,,,,
11/7/2023,Nashville Predators,,Calgary Flames,,,,,
11/7/2023,New Jersey Devils,,Colorado Avalanche,,,,,
11/7/2023,Tampa Bay Lightning,,Montreal Canadiens,,,,,
11/7/2023,Minnesota Wild,,New York Islanders,,,,,
11/7/2023,Detroit Red Wings,,New York Rangers,,,,,
11/7/2023,Philadelphia Flyers,,San Jose Sharks,,,,,
11/7/2023,Winnipeg Jets,,St. Louis Blues,,,,,
11/8/2023,Ottawa Senators,,Toronto Maple Leafs,,,,,
11/8/2023,Los Angeles Kings,,Vegas Golden Knights,,,,,
11/8/2023,Florida Panthers,,Washington Capitals,,,,,
,,,,,,,,
,,,,,,,,
