VTm,VRk,VAvAge,VGF/G,VGA/G,VPP,VPPO,VPP%,VPPA,VPPOA,VPK%,VSH,VSHA,VPIM/G,VoPIM/G,VS,VS%,VSA,VSV%,VSO
Vegas Golden Knights,1,28.5,3.64,2.18,10,39,25.64,4,34,88.24,0,1,10.2,10,314,12.7,329,0.927,0
Boston Bruins,2,28.4,3.1,1.6,5,32,15.63,1,39,97.44,0,0,11.1,9.4,320,9.7,299,0.946,1
New York Rangers,3,28.4,3,1.9,12,37,32.43,6,33,81.82,1,1,10.5,13.3,280,10.7,263,0.928,1
Vancouver Canucks,4,28.3,4.6,2.2,12,35,34.29,9,38,76.32,2,0,11.1,10.5,285,16.1,305,0.928,1
Dallas Stars,5,28.9,3.22,2.56,3,25,12,2,31,93.55,1,3,9,8.8,265,10.9,310,0.926,0
Colorado Avalanche,6,28.4,3.44,2.33,7,35,20,2,36,94.44,3,0,11.1,10,305,10.2,258,0.919,1
Los Angeles Kings,7,29.2,4.2,3.1,8,44,18.18,6,35,82.86,1,2,10,14.8,329,12.8,277,0.888,0
Detroit Red Wings,8,28.5,3.64,3,12,42,28.57,7,42,83.33,0,1,10.3,11.2,331,12.1,341,0.903,1
New Jersey Devils,9,26.7,4.22,3.56,17,38,44.74,9,34,73.53,1,0,10.1,11.1,299,12.7,270,0.881,0
Anaheim Ducks,10,26.8,3.3,3,6,33,18.18,12,52,76.92,2,0,15.5,12.8,281,11.7,325,0.908,0
Carolina Hurricanes,11,29.6,3.36,3.55,11,42,26.19,11,45,75.56,4,3,14.2,10.9,378,9.8,287,0.864,1
Toronto Maple Leafs,12,28.8,3.1,3,10,34,29.41,8,33,75.76,0,2,9.5,9.7,334,9.3,303,0.901,0
New York Islanders,13,29.1,2.67,2.56,4,27,14.81,6,32,81.25,1,0,10.2,8,284,8.5,310,0.926,3
Montreal Canadiens,14,26.6,2.9,3.1,8,40,20,12,48,75,2,2,15.7,13.9,299,9.7,352,0.912,0
Arizona Coyotes,15,26.5,3.3,2.7,10,42,23.81,10,36,72.22,0,0,17.2,14.4,297,11.1,315,0.914,0
Tampa Bay Lightning,16,28.5,3.4,3.2,10,33,30.3,3,26,88.46,0,0,8.1,11.3,295,11.5,349,0.908,2
Florida Panthers,17,29,2.67,2.56,4,33,12.12,9,33,72.73,1,1,8.8,10.2,302,7.9,258,0.911,1
Seattle Kraken,18,29.2,2.55,3.18,8,32,25,8,31,74.19,1,2,8.8,9.5,350,8,360,0.903,0
Columbus Blue Jackets,19,26.8,2.7,3.2,5,35,14.29,5,34,85.29,0,1,9.3,10.8,320,8.4,323,0.901,0
Buffalo Sabres,20,25.8,3.2,2.9,3,30,10,4,40,90,1,2,13.3,12.4,285,11.2,313,0.907,1
Winnipeg Jets,21,28.9,3.1,3.5,5,39,12.82,11,36,69.44,2,1,11.2,10.6,329,9.4,288,0.878,0
Philadelphia Flyers,22,26.8,3.2,3.3,4,35,11.43,6,27,77.78,4,1,10.6,11.2,334,9.6,268,0.877,1
Washington Capitals,23,30.2,1.89,3.22,3,28,10.71,7,30,76.67,1,0,8.7,8.2,269,6.3,264,0.89,0
Minnesota Wild,24,28.9,3.5,4.2,6,38,15.79,12,33,63.64,2,2,12.5,12.5,308,11.4,347,0.879,1
Nashville Predators,25,28.8,2.7,3,10,43,23.26,10,33,69.7,1,0,8,9.8,312,8.7,290,0.897,1
Ottawa Senators,26,26.9,3.78,3.22,9,41,21.95,8,33,75.76,1,2,14.3,15.9,302,11.3,276,0.895,0
St. Louis Blues,27,28.9,1.75,2.88,1,25,4,5,23,78.26,1,1,7.6,9.4,201,7,260,0.912,1
Pittsburgh Penguins,28,31.4,2.89,3.22,4,27,14.81,5,28,82.14,0,1,8.2,7.8,323,8,259,0.888,2
Chicago Blackhawks,29,27.4,2.11,3.56,3,33,9.09,4,30,86.67,1,2,11.1,10.9,237,8,308,0.896,0
Edmonton Oilers,30,28.6,2.78,4,7,33,21.21,10,35,71.43,0,2,10.4,10,300,8.3,268,0.866,0
Calgary Flames,31,29.3,2.2,3.7,6,37,16.22,3,35,91.43,2,2,10.1,9.4,327,6.7,294,0.874,0
San Jose Sharks,32,27.5,1,4.4,4,27,14.81,12,39,69.23,0,1,9.7,8.3,252,4,378,0.884,0
